u_id,section,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
78,2,1522794243,98,sex,full,0.2070970442116724,2.7308249275984076e-4
78,2,1522794283,152,lname,partial,0.3167461670186895,0.10964912280701711
78,2,1522794296,211,lname,partial,0.3360362904754801,0.019290123456790598
78,2,1522794324,36,fname,partial,0.5381692269834165,0.2021329365079364
78,2,1522794370,343,lname,partial,0.5574593504402061,0.0192901234567896
78,2,1522794379,73,sex,full,0.5576767708785827,2.1742043837658098e-4
78,3,1522794477,274,sex,full,2.762308848227703e-4,2.762308848227703e-4
78,3,1522794534,13,sex,full,5.539369965074398e-4,2.777061116846695e-4
78,3,1522794645,111,lname,partial,0.05397274041531042,0.053418803418802986
78,3,1522794665,93,sex,full,0.0542150400642144,2.422996489039736e-4
78,3,1522794707,32,fname,partial,0.24932086017003408,0.19510582010581967
78,3,1522794760,215,lname,partial,0.3124521733013471,0.06313131313131304
78,3,1522794781,78,sex,full,0.3126565946392614,2.044213379142623e-4
78,4,1522794857,276,sex,full,2.6143280170726473e-4,2.6143280170726473e-4
78,4,1522794917,15,sex,full,5.152502156121333e-4,2.5381741390486854e-4
78,4,1522795030,97,sex,full,7.649956923956604e-4,2.4974547678352716e-4
78,4,1522795049,106,lname,partial,0.018571263498663806,0.017806267806268147
78,4,1522795136,210,lname,partial,0.03961503454243504,0.021043771043771236
78,4,1522795193,82,sex,full,0.0398161143777104,2.0107983527535567e-4
78,4,1522795215,264,fname,partial,0.29760230966390533,0.25778619528619495
78,5,1522795290,277,sex,full,2.3282317435062064e-4,2.3282317435062064e-4
78,5,1522795301,128,fname,partial,0.22004689127470942,0.2198140681003588
78,5,1522795336,14,sex,full,0.22030412135972546,2.5723008501604694e-4
78,5,1522795409,146,sex,full,0.22051463602598106,2.1051466625560122e-4
78,5,1522795423,85,fname,partial,0.42476300203905293,0.20424836601307186
78,5,1522795449,102,sex,full,0.42503608453181246,2.7308249275953544e-4
78,5,1522795456,108,lname,partial,0.4517454862412137,0.026709401709401226
78,5,1522795470,134,fname,partial,0.6176972836268348,0.16595179738562116
78,5,1522795520,206,lname,partial,0.6502493669601683,0.03255208333333348
78,5,1522795585,260,fname,partial,0.671950755849057,0.021701388888888618
78,6,1522795643,275,sex,full,2.647743043462498e-4,2.647743043462498e-4
78,6,1522795709,19,sex,full,5.215458687118095e-4,2.567715643655597e-4
78,6,1522795765,89,fname,partial,0.15484253352303298,0.15432098765432117
78,6,1522795836,104,lname,partial,0.21436634304684254,0.05952380952380956
78,6,1522795901,81,sex,full,0.21456742288211839,2.010798352758414e-4
78,6,1522795912,21,sex,full,0.21481333594749324,2.459130653748587e-4
78,7,1522795949,268,sex,full,2.4770704345520163e-4,2.4770704345520163e-4
78,7,1522795997,24,sex,full,5.044786078208095e-4,2.5677156436560783e-4
78,7,1522796006,147,sex,full,7.371657078441218e-4,2.326871000233123e-4
78,7,1522796045,95,sex,full,9.980092093312823e-4,2.608435014871606e-4
78,7,1522796118,83,sex,full,0.0012120881450686468,2.1407893573736447e-4
78,7,1522796188,96,sex,full,0.0014580012104442154,2.459130653755686e-4
78,8,1522796233,269,sex,full,2.3282317435062064e-4,2.3282317435062064e-4
78,8,1522796265,22,sex,full,4.866405882561332e-4,2.5381741390551255e-4
78,8,1522796273,296,sex,full,8.069138881385664e-4,3.202732998824332e-4
78,8,1522796315,99,sex,full,0.0010492135370433963,2.422996489048299e-4
78,8,1522796324,113,lname,partial,0.09794843834324454,0.09689922480620114
78,8,1522796411,77,sex,full,0.09817323313227318,2.2479478902863448e-4
78,8,1522796411,75,sex,full,0.09835254089961411,1.7930776734093046e-4
78,8,1522796426,165,lname,partial,0.17019162135938412,0.07183908045977001
78,9,1522796473,272,sex,full,2.68338573827834e-4,2.68338573827834e-4
78,9,1522796498,300,sex,full,6.487201461600367e-4,3.8038157233220274e-4
78,9,1522796509,18,sex,full,9.059502311764627e-4,2.57230085016426e-4
78,9,1522796536,150,sex,full,0.0011099844074655462,2.0403417628908345e-4
78,9,1522796594,92,sex,full,0.00136314255536099,2.531581478954438e-4
78,9,1522796620,76,sex,full,0.001564222390636399,2.01079835275409e-4
